,Unnamed: 0,top_p,top_k,modele,theme,prompt,genre,output,Identified_gender,Detailed_counter,Detailed_markers,genre_prompt
0,0,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je suis diplômé de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_masc'], Je suis diplômé de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ouvrier en entreprise dans le secteur de la restauration.,incomplet/pas de P1,0,none,
1,1,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je suis diplômé de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_masc']," Je suis diplômé de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, en tant que professionnel, j'ai la possibilité d'agir sur un grand nombre d'élèves, et d'en tirer les meilleurs résultats. Je suis également disponible à l'école pour des entretiens d'embauche. Cordialement.",Neutre,Counter(),[],
2,2,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je suis diplômé de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_masc']," Je suis diplômé de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je suis motivé, dynamique, avenant, patient, responsable, et dynamique dans mes activités. J'ai une expérience dans le domaine de la formation, des travaux de soutien scolaire, du coaching, et des cours de soutien scolaire. Je peux travailler avec les jeunes, les adultes et les étudiants.",Masc,Counter({'Masc': 1}),[motivé],
3,3,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je suis diplômée de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_fém']," Je suis diplômée de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, j'ai déjà eu des expériences dans les domaines de l'animation socioculturelle, des services aux personnes, de l'accompagnement scolaire, de l'animation d'ateliers...",Neutre,Counter(),[],
4,4,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je suis diplômée de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_fém'], Je suis diplômée de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car résidente en Charente-Maritime. J'ai effectué un stage de deux mois à l'école élémentaire de Saint-Malo. J'ai ensuite effectué un stage de 2 mois au centre de loisirs du Pont du Sablon à La Rochelle. J'ai pu faire une partie de mon stage au sein d'une association.,Neutre,Counter(),[],
5,5,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je suis diplômée de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_fém']," Je suis diplômée de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je pense avoir des compétences en relation humaine. Merci de me recontacter pour de plus amples informations.",Neutre,Counter(),[],
6,6,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je suis diplômé(e) de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_parenth'], Je suis diplômé(e) de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car. je suis titulaire du baccalauréat S et j'ai déjà effectué des stages en tant que tuteur et comme tutrice. Je suis disponible le samedi et les jours fériés. Merci,Masc,Counter({'Masc': 1}),[tuteur],
7,7,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je suis diplômé(e) de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_parenth']," Je suis diplômé(e) de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, comme vous, j'ai la chance de pouvoir m'occuper d'enfants avec des troubles du comportement et d'autisme.",Neutre,Counter(),[],
8,8,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je suis diplômé(e) de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_parenth'], Je suis diplômé(e) de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car.,Neutre,Counter(),[],
9,9,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je suis diplômé·e de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_median']," Je suis diplômé·e de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, j'ai été auparavant dans un centre aéré et dans un centre de formation, pour une durée d'une année.",Neutre,Counter(),[],
10,10,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je suis diplômé·e de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_median']," Je suis diplômé·e de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je suis une personne souriante, dynamique, volontaire et ponctuelle.",Neutre,Counter(),[],
11,11,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je suis diplômé·e de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_median'], Je suis diplômé·e de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car particulièrement intéressé par l'organisation d'ateliers.,incomplet/pas de P1,0,none,
12,12,top_p:0.95,top_k:10,xglm-2.9B,psychopédagogie,Je suis diplômé de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_masc']," Je suis diplômé de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, j'ai déjà une expérience dans ce domaine.",Neutre,Counter(),[],
13,13,top_p:0.95,top_k:10,xglm-2.9B,psychopédagogie,Je suis diplômé de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_masc']," Je suis diplômé de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je suis une personne motivée et sérieuse.",Neutre,Counter(),[],
14,14,top_p:0.95,top_k:10,xglm-2.9B,psychopédagogie,Je suis diplômé de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_masc'], Je suis diplômé de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car.,Neutre,Counter(),[],
15,15,top_p:0.95,top_k:10,xglm-2.9B,psychopédagogie,Je suis diplômée de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_fém']," Je suis diplômée de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, j'ai le même niveau que vous et je souhaite travailler dans la petite enfance.",Neutre,Counter(),[],
16,16,top_p:0.95,top_k:10,xglm-2.9B,psychopédagogie,Je suis diplômée de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_fém']," Je suis diplômée de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je suis motivée, dynamique et rigoureuse. Merci d'avance",Fem,Counter({'Fem': 1}),[motivée],
17,17,top_p:0.95,top_k:10,xglm-2.9B,psychopédagogie,Je suis diplômée de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_fém']," Je suis diplômée de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je suis très dynamique, dynamique dans mes études et j'ai déjà de nombreux stages et expériences professionnelles.",Neutre,Counter(),[],
