theme,gap,neutre
architecture du btp et du paysage,43.5,47.8
géographie,41.2,58.8
mécanique générale et de précision,40.0,60.0
production et exploitation de systèmes d'information,38.1,61.9
métré en métallerie,38.1,61.9
maintenance informatique et bureautique,38.1,61.9
chaudronnerie - tôlerie,37.5,54.2
réalisation et montage en tuyauterie,36.4,63.6
métallurgie,36.4,54.5
fabrication et réparation d'instruments de musique,34.8,65.2
géographie de l'aménagement et du développement,33.300000000000004,57.1
"informatique, traitement de l'information",33.3,66.7
information météorologique,33.3,38.1
"construction, bâtiment et travaux publics",33.3,58.3
bûcheronnage et élagage,33.3,66.7
boucherie,31.9,59.1
conduite de grue,31.8,63.6
vente technico-commerciale des produits de la forêt et de la pêche,31.499999999999996,57.9
météorologie,30.4,69.6
maçonnerie,28.6,71.4
encadrement de la navigation maritime,28.6,52.4
physique-chimie,27.3,63.6
"assistance informatique, maintenance de logiciels et réseaux",27.3,63.6
arboriculture et viticulture,27.3,63.6
"recherche en sciences de l'univers,de la matière et du vivant",27.299999999999997,45.5
physique,27.299999999999997,54.5
mécanique aéronautique et spatiale,26.099999999999998,65.2
informatique en biologie,23.9,38.1
éclairage spectacle,23.8,66.7
conduite d'engins agricoles et forestiers,23.8,66.7
"installation et maintenance en froid, conditionnement d'air",22.8,68.2
droit des affaires,22.8,68.2
ingénierie et études du btp,22.799999999999997,50.0
défense et conseil juridique,22.700000000000003,54.5
analyse de crédits et risques bancaires,22.700000000000003,59.1
electricité électronique,22.7,77.3
pose de canalisations,21.7,78.3
conseil en gestion de patrimoine financier,21.7,56.5
réparation de carrosserie,20.9,62.5
construction de décors de spectacle,20.799999999999997,54.2
trésorerie et financement,20.0,50.0
magistrature,20.0,60.0
développement et protection du patrimoine culturel,20.0,60.0
direction de chantier du btp,20.0,80.0
conduite d'engins de chantier,20.0,50.0
gestion de portefeuilles sur les marchés financiers,19.1,61.9
navigation fluviale,19.0,71.4
"droit, sciences politiques",18.200000000000003,63.6
travail du bois et de l'ameublement,18.2,72.7
protection du patrimoine naturel,17.4,56.5
