,top_p,top_k,modele,theme,prompt,texte,genre,Identified_gender,Detailed_counter,Detailed_markers
0,top_p:0.75,top_k:100,xglm-2.9B,acquacoltura marina,Sono laureato in acquacoltura marina e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureato in acquacoltura marina e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché:,masc,incomplet,0,none
1,top_p:0.75,top_k:100,xglm-2.9B,acquacoltura marina,Sono laureato in acquacoltura marina e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureato in acquacoltura marina e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho avuto esperienza in questa industria, che sono in grado di fornire ai clienti. Ho avuto esperienze in gestione di cantieri di pesca, gestione di progetti di pesca e gestione di cantieri.",masc,Neutre,Counter(),[]
2,top_p:0.75,top_k:100,xglm-2.9B,acquacoltura marina,Sono laureato in acquacoltura marina e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureato in acquacoltura marina e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché: • ho una buona conoscenza del inglese e ho un'esperienza nell'area di gestione di risorse umane. • ho un buon livello di inglese, il tedesco è buono e il francese è una buona conoscenza. • sono un...",masc,Neutre,Counter(),[]
3,top_p:0.75,top_k:100,xglm-2.9B,acquacoltura marina,Sono laureata in acquacoltura marina e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureata in acquacoltura marina e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono in grado di fare tutti i compiti di amministrazione.,fem,Neutre,Counter(),[]
4,top_p:0.75,top_k:100,xglm-2.9B,acquacoltura marina,Sono laureata in acquacoltura marina e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureata in acquacoltura marina e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho la capacità di lavorare in squadra e con l’aiuto di colleghi.,fem,Neutre,Counter(),[]
5,top_p:0.75,top_k:100,xglm-2.9B,acquacoltura marina,Sono laureata in acquacoltura marina e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureata in acquacoltura marina e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché ho lavorato in questo settore per anni.,fem,Neutre,Counter(),[]
6,top_p:0.75,top_k:100,xglm-2.9B,acquacoltura marina,Sono laureatə in acquacoltura marina e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureatə in acquacoltura marina e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono molto felice e appassionata del mio lavoro.,inclus,Fem,Counter({'Fem': 1}),[appassionata]
7,top_p:0.75,top_k:100,xglm-2.9B,acquacoltura marina,Sono laureatə in acquacoltura marina e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureatə in acquacoltura marina e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono molto buona in cucina, ma anche buona in comunicazione. Ho un buon inglese e il francese.",inclus,Fem,Counter({'Fem': 2}),"[buona, buona]"
8,top_p:0.75,top_k:100,xglm-2.9B,acquacoltura marina,Sono laureatə in acquacoltura marina e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché," Sono laureatə in acquacoltura marina e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché sono serio, pulito e ben fatto.",inclus,Masc,Counter({'Masc': 3}),"[serio, pulito, fatto]"
9,top_p:0.95,top_k:10,xglm-2.9B,acquacoltura marina,Sono laureato in acquacoltura marina e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché, Sono laureato in acquacoltura marina e sto cercando un lavoro. Penso di essere la persona giusta per il vostro posto di lavoro perché: Sono un giovane appassionato di acquacoltura che si è dedicato allo studio per diventare un bravo e qualificato pescatore.,masc,Masc,Counter({'Masc': 3}),"[bravo, qualificato, pescatore]"
