theme,gap,neutre
prise de son et sonorisation,83.3,8.3
"informatique, traitement de l'information",83.3,12.5
conduite d'engins de chantier,79.2,20.8
mécanique aéronautique et spatiale,62.5,37.5
qualité sécurité environnement et protection santé du btp,59.1,27.3
management d'établissement de restauration collective,56.5,26.1
fabrication et réparation d'instruments de musique,56.5,26.1
electricité électronique,54.5,27.3
direction de chantier du btp,54.2,20.8
métré en métallerie,52.2,34.8
méthodes et gestion de production en chaudronnerie et métallerie,52.2,26.1
gestion de portefeuilles sur les marchés financiers,52.2,39.1
conduite d'engins agricoles et forestiers,52.2,39.1
bûcheronnage et élagage,52.2,21.7
information météorologique,50.0,50.0
enseignement des écoles,50.0,16.7
"assistance informatique, maintenance de logiciels et réseaux",50.0,33.3
films d'animation et effets spéciaux,47.9,26.1
conseil en gestion de patrimoine financier,47.9,21.7
navigation fluviale,45.8,29.2
maintenance informatique et bureautique,45.8,45.8
ingénierie et études du btp,45.8,29.2
encadrement de la navigation maritime,45.8,29.2
comptabilité,43.5,52.2
soudage manuel,41.7,29.2
sommellerie,41.7,16.7
mécanique générale et de précision,41.7,33.3
géologie de l'environnement,41.7,33.3
chaudronnerie - tôlerie,41.7,29.2
boucherie,41.7,16.7
"construction, bâtiment et travaux publics",41.599999999999994,25.0
réparation de carrosserie,40.900000000000006,22.7
physique,39.1,21.7
"réalisation d'ouvrages en bijouterie,joaillerie et orfèvrerie",37.5,37.5
production et exploitation de systèmes d'information,37.5,37.5
métallurgie,37.5,37.5
langues et civilisations anciennes,37.5,41.7
gardiennage de locaux,37.5,50.0
droit de la sécurité et de la défense,37.5,37.5
direction de grande entreprise ou d'établissement public,36.400000000000006,18.2
direction administrative et financière,36.4,36.4
"recherche en sciences de l'univers,de la matière et du vivant",36.3,27.3
préparation en pharmacie,34.800000000000004,30.4
architecture du btp et du paysage,34.800000000000004,26.1
magistrature,34.8,39.1
agriculture,34.8,17.4
pose de canalisations,33.400000000000006,50.0
droit pénal,33.3,37.5
direction de laboratoire d'analyse industrielle,33.3,37.5
conduite de grue,33.3,58.3
"surveillance et protection de la forêt, de la faune sauvage et des espaces naturels",31.9,40.9
"recherche en sciences de l'univers, de la matière et du vivant",31.9,40.9
histoire,31.799999999999997,45.5
machinerie spectacle,30.500000000000004,26.1
management et ingénierie d'affaires,30.5,43.5
"installation et maintenance en froid, conditionnement d'air",30.5,39.1
entretien des espaces naturels,30.5,39.1
réalisation et montage en tuyauterie,29.200000000000003,41.7
recherche agronomique,29.200000000000003,45.8
design industriel,29.200000000000003,37.5
fabrication et affinage de fromages,29.099999999999998,37.5
droit de l'environnement,29.099999999999998,33.3
mathématiques,26.099999999999998,30.4
vente technico-commerciale des produits de la forêt et de la pêche,25.000000000000004,41.7
arboriculture et viticulture,25.0,20.8
sciences de la terre,24.999999999999996,33.3
"commerce, vente",24.999999999999996,29.2
management d'hôtel-restaurant,21.8,34.8
droit fiscal,21.799999999999997,47.8
musique et chant,21.700000000000003,8.7
animation musicale et scénique,21.699999999999996,26.1
personnel de la défense,20.900000000000002,37.5
