theme,gap,neutre
"langues étrangères appliquées au tourisme, au commerce international, aux affaires, à la documentation",61.900000000000006,28.6
mécanique aéronautique et spatiale,52.6,36.8
conduite de grue,52.300000000000004,33.3
sciences de la terre,50.0,29.2
aménagement paysager,50.0,40.9
direction de laboratoire d'analyse industrielle,47.8,30.4
analyse de crédits et risques bancaires,47.8,30.4
ingénierie et études du btp,45.4,27.3
biochimie de l'eau et de l'environnement,45.4,31.8
géologie de l'environnement,45.0,45.0
information météorologique,43.5,39.1
electricité électronique,43.5,39.1
boucherie,43.5,26.1
méthodes et gestion de production en chaudronnerie et métallerie,42.800000000000004,47.6
maintenance informatique et bureautique,42.1,36.8
philosophie du droit,41.0,45.5
direction de chantier du btp,41.0,50.0
"installation et maintenance en froid, conditionnement d'air",40.9,27.3
"recherche en sciences de l'univers, de la matière et du vivant",40.0,25.0
défense et conseil juridique,40.0,60.0
biologie de l'agronomie et de l'agriculture,40.0,30.0
droit de la santé,39.1,26.1
restauration des oeuvres d'art,38.8,50.0
métallurgie,37.800000000000004,48.9
droit fiscal,36.800000000000004,47.4
mathématiques,36.8,31.6
travail du bois et de l'ameublement,36.4,50.0
réalisation et montage en tuyauterie,36.4,45.5
réalisation d'objets artistiques et fonctionnels en verre,36.4,50.0
gestion de patrimoine culturel,36.4,59.1
conseil en gestion de patrimoine financier,36.4,45.5
pose de canalisations,35.3,52.9
élevage bovin ou équin,35.0,45.0
maçonnerie,35.0,25.0
management d'établissement de restauration collective,35.0,50.0
techniques de l'imprimerie et de l'édition,34.8,39.1
droit pénal,34.8,34.8
droit de l'environnement,34.8,34.8
optique - lunetterie,33.4,42.9
management et ingénierie d'affaires,33.4,42.9
assistance de direction d'hôtel-restaurant,33.4,47.6
"gestion et mise à disposition de ressources documentaires, conservation des archives",33.300000000000004,57.1
philosophie du langage,33.3,33.3
courtage en assurances,33.3,55.6
conduite d'engins agricoles et forestiers,33.3,44.4
arboriculture et viticulture,31.9,40.9
réparation de carrosserie,31.499999999999996,52.6
reprographie,30.5,39.1
recherche agronomique,30.5,43.5
médecine dentaire,30.5,43.5
service en restauration,30.0,40.0
assistance médico-technique,28.6,52.4
vente en alimentation,27.3,36.4
direction de grande entreprise ou d'établissement public,27.3,31.8
qualité sécurité environnement et protection santé du btp,27.299999999999997,50.0
poissonnerie,27.299999999999997,45.5
management des ressources humaines,27.299999999999997,40.9
management d'hôtel-restaurant,27.299999999999997,40.9
conduite d'engins de chantier,26.3,36.8
"ressources humaines, gestion de l'emploi",26.299999999999997,52.6
protection du patrimoine naturel,26.099999999999998,52.2
éducation en activités sportives,25.0,50.0
trésorerie et financement,25.0,45.8
"surveillance et protection de la forêt, de la faune sauvage et des espaces naturels",25.0,55.0
personnel polyvalent d'hôtellerie,25.0,40.0
machinerie spectacle,25.0,35.0
géographie de l'aménagement et du développement,25.0,50.0
design industriel,25.0,45.0
construction de décors de spectacle,25.0,35.0
physique-chimie,23.8,42.9
"informatique, traitement de l'information",23.8,28.6
gestion touristique et hôtelière,23.8,42.9
cuisine,23.8,52.4
littérature et philosophie,23.799999999999997,52.4
fabrication et réparation d'instruments de musique,23.6,41.2
éducation de jeunes enfants,22.799999999999997,40.9
montage audiovisuel et post-production,22.799999999999997,50.0
informatique en biologie,22.7,36.4
"traduction, interprétariat",22.2,38.9
"construction, bâtiment et travaux publics",22.2,33.3
météorologie,21.799999999999997,43.5
interprétariat et traduction,21.799999999999997,39.1
films d'animation et effets spéciaux,21.700000000000003,34.8
"commerce, vente",21.099999999999998,26.3
"philosophie, éthique et théologie",20.799999999999997,20.8
métré en métallerie,20.0,35.0
conseil en organisation et management d'entreprise,20.0,55.0
aide et médiation judiciaire,20.0,30.0
toilettage des animaux,19.1,38.1
image cinématographique et télévisuelle,19.1,42.9
accompagnement et médiation familiale,19.099999999999998,33.3
personnel de la défense,18.999999999999996,52.4
direction administrative et financière,18.999999999999996,42.9
soins infirmiers généralistes,18.2,27.3
"français, littérature et civilisation française",18.2,45.5
communication,18.1,9.1
soudage manuel,17.4,43.5
régie générale,16.7,38.9
"pâtisserie,confiserie,chocolaterie et glacerie",15.699999999999996,36.8
gestion de portefeuilles sur les marchés financiers,15.0,40.0
bûcheronnage et élagage,15.0,60.0
prise de son et sonorisation,14.3,57.1
musique et chant,14.3,33.3
gardiennage de locaux,14.3,52.4
droit de la sécurité et de la défense,14.3,66.7
