theme,gap,neutre
mécanique générale et de précision,82.6,17.4
machinerie spectacle,78.3,13.0
"installation et maintenance en froid, conditionnement d'air",78.3,21.7
electricité électronique,78.3,13.0
soudage manuel,77.3,22.7
direction de chantier du btp,77.3,13.6
conduite de grue,75.0,10.0
conduite d'engins agricoles et forestiers,75.0,25.0
navigation fluviale,72.7,27.3
ingénierie et études du btp,71.5,9.5
"assistance informatique, maintenance de logiciels et réseaux",71.4,19.0
montage audiovisuel et post-production,70.8,16.7
mécanique aéronautique et spatiale,69.6,26.1
maçonnerie,69.6,8.7
boucherie,65.2,17.4
direction de laboratoire d'analyse industrielle,65.0,10.0
réparation de carrosserie,63.7,27.3
fabrication et réparation d'instruments de musique,63.6,18.2
travail du bois et de l'ameublement,63.10000000000001,26.3
bûcheronnage et élagage,63.10000000000001,15.8
production et exploitation de systèmes d'information,59.1,22.7
films d'animation et effets spéciaux,58.3,12.5
"construction, bâtiment et travaux publics",57.1,28.6
physique,56.599999999999994,17.4
développement et protection du patrimoine culturel,56.50000000000001,8.7
réalisation et montage en tuyauterie,54.6,31.8
qualité sécurité environnement et protection santé du btp,54.5,22.7
transaction immobilière,54.2,25.0
gestion de portefeuilles sur les marchés financiers,52.7,26.3
météorologie,52.6,5.3
image cinématographique et télévisuelle,52.4,28.6
conduite d'engins de chantier,52.300000000000004,38.1
relation commerciale en vente de véhicules,52.2,17.4
métallurgie,52.2,34.1
gardiennage de locaux,52.2,30.4
direction de grande entreprise ou d'établissement public,52.2,30.4
chaudronnerie - tôlerie,52.2,30.4
management et ingénierie d'affaires,50.0,18.2
informatique en biologie,47.7,9.5
magistrature,47.599999999999994,19.0
charcuterie - traiteur,47.400000000000006,15.8
trésorerie et financement,45.400000000000006,18.2
pose de canalisations,45.400000000000006,18.2
réalisation cinématographique et audiovisuelle,45.0,25.0
maintenance informatique et bureautique,45.0,20.0
peinture industrielle,42.9,28.6
recherche agronomique,40.9,31.8
optique - lunetterie,40.9,27.3
régie générale,40.0,30.0
"surveillance et protection de la forêt, de la faune sauvage et des espaces naturels",39.2,17.4
arboriculture et viticulture,39.2,8.7
personnel de la défense,38.099999999999994,9.5
droit de la sécurité et de la défense,38.099999999999994,14.3
biochimie de l'eau et de l'environnement,36.400000000000006,13.6
architecture du btp et du paysage,36.400000000000006,18.2
droit des affaires,36.4,27.3
éclairage spectacle,36.3,22.7
techniques de l'imprimerie et de l'édition,36.3,22.7
élevage bovin ou équin,34.800000000000004,30.4
organisation d'évènementiel,34.8,17.4
photographie,33.4,28.6
géologie de l'environnement,33.4,42.9
chimie,33.4,28.6
physique-chimie,33.3,9.5
gestion en banque et assurance,33.3,33.3
droit pénal,33.3,37.5
métré en métallerie,31.8,27.3
biologie de l'agronomie et de l'agriculture,31.8,13.6
entretien des espaces naturels,31.5,21.1
éducation en activités sportives,30.500000000000004,26.1
"droit, sciences politiques",30.500000000000004,21.7
direction administrative et financière,30.500000000000004,21.7
biopharmacologie,30.500000000000004,21.7
management d'hôtel-restaurant,30.4,17.4
protection du patrimoine naturel,30.0,35.0
personnel de cuisine,30.0,5.0
information météorologique,28.599999999999998,14.3
agriculture,28.5,14.3
sciences de la terre,27.3,18.2
mathématiques,27.2,13.6
gestion touristique et hôtelière,27.2,18.2
marketing,26.1,13.0
encadrement de la navigation maritime,26.1,13.0
reprographie,26.099999999999998,26.1
sciences des ressources agro-alimentaires,25.0,10.0
géographie,25.0,20.8
droit de la santé,25.0,15.0
comptabilité,25.0,30.0
"chimie-biologie, biochimie",25.0,30.0
animation musicale et scénique,25.0,10.0
courtage en assurances,23.9,33.3
conseil en gestion de patrimoine financier,23.9,38.1
animation touristique et culturelle,23.8,23.8
vente en alimentation,23.799999999999997,19.0
"recherche en sciences de l'univers, de la matière et du vivant",23.799999999999997,14.3
négociation et vente,23.799999999999997,19.0
fabrication et affinage de fromages,23.799999999999997,14.3
économie,22.8,22.7
analyse de crédits et risques bancaires,22.8,27.3
"réalisation d'ouvrages en bijouterie, joaillerie et orfèvrerie",21.8,21.7
prise de son et sonorisation,21.700000000000003,34.8
"comptabilité, gestion",21.700000000000003,30.4
biochimie appliquée aux procédés industriels,21.699999999999996,26.1
management d'établissement de restauration collective,20.8,20.8
cuisine,20.8,12.5
langues et civilisations anciennes,20.799999999999997,20.8
gérance immobilière,20.799999999999997,16.7
design industriel,20.799999999999997,16.7
"recherche en sciences de l'univers,de la matière et du vivant",20.0,15.0
littérature et philosophie,20.0,20.0
aménagement paysager,20.0,10.0
"gestion et mise à disposition de ressources documentaires, conservation des archives",18.2,18.2
assistance de direction d'hôtel-restaurant,18.2,9.1
conseil clientèle en assurances,17.400000000000002,39.1
"réalisation d'ouvrages en bijouterie,joaillerie et orfèvrerie",17.4,0
personnel polyvalent d'hôtellerie,17.4,21.7
droit fiscal,17.4,30.4
fabrication textile,16.700000000000003,12.5
communication,16.599999999999998,37.5
"langues étrangères appliquées au tourisme, au commerce international, aux affaires, à la documentation",15.0,25.0
droit de l'environnement,15.0,40.0
construction de décors de spectacle,15.0,20.0
sociologie et travail social,14.300000000000004,19.0
management des ressources humaines,14.3,33.3
médecine dentaire,14.299999999999997,19.0
"informatique, traitement de l'information",14.299999999999997,28.6
méthodes et gestion de production en chaudronnerie et métallerie,13.700000000000001,50.0
préparation en pharmacie,13.7,22.7
aide et médiation judiciaire,13.7,18.2
philosophie du droit,13.599999999999998,22.7
conseil en organisation et management d'entreprise,13.599999999999998,31.8
gestion de patrimoine culturel,13.100000000000001,26.1
assistance médico-technique,13.0,13.0
arts appliqués à la communication et à l'audiovisuel,9.600000000000001,23.8
linguistique,9.5,33.3
biochimie des produits alimentaires,9.099999999999998,27.3
poissonnerie,8.700000000000003,17.4
"philosophie, éthique et théologie",8.700000000000003,17.4
journalisme et communication,8.700000000000003,17.4
sommellerie,8.699999999999996,13.0
costume et habillage spectacle,5.300000000000004,15.8
géographie de l'aménagement et du développement,5.0,10.0
réalisation d'objets artistiques et fonctionnels en verre,4.800000000000004,28.6
musique et chant,4.700000000000003,9.5
défense et conseil juridique,4.600000000000001,40.9
psychologie,4.599999999999998,27.3
psychologie clinique,4.399999999999999,30.4
médecine généraliste et spécialisée,4.399999999999999,13.0
biologie médicale,4.399999999999999,13.0
vente technico-commerciale des produits de la forêt et de la pêche,0.0,23.8
restauration des oeuvres d'art,0.0,26.1
philosophie du langage,0.0,9.5
pharmacie,0.0,17.4
histoire,0.0,37.5
epistémologie des sciences humaines,0.0,13.0
conseil en information médicale,0.0,13.0
art dramatique,0.0,13.6
accueil touristique,-4.300000000000004,26.1
arts du cirque et arts visuels,-4.600000000000001,9.1
"ressources humaines, gestion de l'emploi",-4.800000000000004,28.6
toilettage des animaux,-5.0,15.0
animation de loisirs auprès d'enfants ou d'adolescents,-9.100000000000001,18.2
"commerce, vente",-9.5,23.8
"traduction, interprétariat",-10.0,30.0
services domestiques,-15.0,20.0
maquillage de scène,-15.0,15.0
psychologie de la santé,-16.599999999999998,16.7
soins infirmiers généralistes,-16.7,38.9
service en restauration,-16.700000000000003,16.7
secrétariat comptable,-17.4,26.1
"langues vivantes, civilisations étrangères et régionales",-17.4,21.7
arts plastiques,-18.2,31.8
"littérature appliquée à la documentation, communication, lettres et enseignement",-19.0,23.8
enseignement des écoles,-19.0,19.0
journalisme et information média,-19.099999999999998,23.8
création textile,-19.1,9.5
stylisme,-20.900000000000006,8.3
sciences sociales,-21.700000000000003,4.3
"traduction,interprétariat",-21.8,21.7
interprétariat et traduction,-21.8,26.1
éducation de jeunes enfants,-22.2,22.2
linguistique et didactique des langues,-22.7,27.3
danse,-22.7,22.7
"coiffure, esthétique et autres spécialites de services aux personnes",-22.7,31.8
soins infirmiers spécialisés en anesthésie,-23.799999999999997,9.5
"pâtisserie,confiserie,chocolaterie et glacerie",-26.099999999999998,17.4
boulangerie - viennoiserie,-27.2,18.2
intervention socioéducative,-30.0,30.0
travail social,-30.4,4.3
accompagnement et médiation familiale,-30.4,34.8
direction des centres de loisirs ou culturels,-39.1,26.1
psychopédagogie,-40.0,10.0
"dentellerie, broderie",-40.900000000000006,18.2
retouches en habillement,-42.8,14.3
orthophonie,-43.5,17.4
"français, littérature et civilisation française",-43.5,30.4
diététique,-43.5,21.7
mannequinat et pose artistique,-45.0,25.0
esthétique,-45.8,20.8
secrétariat et assistanat médical ou médico-social,-55.0,15.0
coiffure,-58.3,8.3
aide en puériculture,-61.900000000000006,9.5
soins infirmiers spécialisés en puériculture,-70.0,10.0
