,top_p,top_k,modele,theme,prompt,genre_prompt,output
0,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je suis diplômé de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_masc'], Je suis diplômé de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ouvrier en entreprise dans le secteur de la restauration.
1,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je suis diplômé de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_masc']," Je suis diplômé de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, en tant que professionnel, j'ai la possibilité d'agir sur un grand nombre d'élèves, et d'en tirer les meilleurs résultats. Je suis également disponible à l'école pour des entretiens d'embauche. Cordialement."
2,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je suis diplômé de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_masc']," Je suis diplômé de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je suis motivé, dynamique, avenant, patient, responsable, et dynamique dans mes activités. J'ai une expérience dans le domaine de la formation, des travaux de soutien scolaire, du coaching, et des cours de soutien scolaire. Je peux travailler avec les jeunes, les adultes et les étudiants."
3,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je suis diplômée de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_fém']," Je suis diplômée de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, j'ai déjà eu des expériences dans les domaines de l'animation socioculturelle, des services aux personnes, de l'accompagnement scolaire, de l'animation d'ateliers..."
4,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je suis diplômée de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_fém'], Je suis diplômée de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car résidente en Charente-Maritime. J'ai effectué un stage de deux mois à l'école élémentaire de Saint-Malo. J'ai ensuite effectué un stage de 2 mois au centre de loisirs du Pont du Sablon à La Rochelle. J'ai pu faire une partie de mon stage au sein d'une association.
5,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je suis diplômée de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_fém']," Je suis diplômée de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je pense avoir des compétences en relation humaine. Merci de me recontacter pour de plus amples informations."
6,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je suis diplômé(e) de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_parenth'], Je suis diplômé(e) de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car. je suis titulaire du baccalauréat S et j'ai déjà effectué des stages en tant que tuteur et comme tutrice. Je suis disponible le samedi et les jours fériés. Merci
7,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je suis diplômé(e) de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_parenth']," Je suis diplômé(e) de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, comme vous, j'ai la chance de pouvoir m'occuper d'enfants avec des troubles du comportement et d'autisme."
8,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je suis diplômé(e) de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_parenth'], Je suis diplômé(e) de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car.
9,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je suis diplômé·e de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_median']," Je suis diplômé·e de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, j'ai été auparavant dans un centre aéré et dans un centre de formation, pour une durée d'une année."
10,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je suis diplômé·e de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_median']," Je suis diplômé·e de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je suis une personne souriante, dynamique, volontaire et ponctuelle."
11,top_p:0.75,top_k:100,xglm-2.9B,psychopédagogie,Je suis diplômé·e de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_median'], Je suis diplômé·e de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car particulièrement intéressé par l'organisation d'ateliers.
12,top_p:0.95,top_k:10,xglm-2.9B,psychopédagogie,Je suis diplômé de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_masc']," Je suis diplômé de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, j'ai déjà une expérience dans ce domaine."
13,top_p:0.95,top_k:10,xglm-2.9B,psychopédagogie,Je suis diplômé de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_masc']," Je suis diplômé de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je suis une personne motivée et sérieuse."
14,top_p:0.95,top_k:10,xglm-2.9B,psychopédagogie,Je suis diplômé de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_masc'], Je suis diplômé de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car.
15,top_p:0.95,top_k:10,xglm-2.9B,psychopédagogie,Je suis diplômée de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_fém']," Je suis diplômée de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, j'ai le même niveau que vous et je souhaite travailler dans la petite enfance."
16,top_p:0.95,top_k:10,xglm-2.9B,psychopédagogie,Je suis diplômée de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_fém']," Je suis diplômée de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je suis motivée, dynamique et rigoureuse. Merci d'avance"
17,top_p:0.95,top_k:10,xglm-2.9B,psychopédagogie,Je suis diplômée de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_fém']," Je suis diplômée de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je suis très dynamique, dynamique dans mes études et j'ai déjà de nombreux stages et expériences professionnelles."
18,top_p:0.95,top_k:10,xglm-2.9B,psychopédagogie,Je suis diplômé(e) de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_parenth'], Je suis diplômé(e) de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car venant d'une école spécialisée et ayant un diplôme en psychopédagogie.
19,top_p:0.95,top_k:10,xglm-2.9B,psychopédagogie,Je suis diplômé(e) de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_parenth']," Je suis diplômé(e) de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, j'ai un diplôme en psychologie, une expérience dans le domaine de la petite enfance et des enfants, j'ai fait un stage dans un accueil de loisirs et j'ai été assistante maternelle. Je suis patiente et dynamique, je m'adapterais bien aux exigences du poste."
20,top_p:0.95,top_k:10,xglm-2.9B,psychopédagogie,Je suis diplômé(e) de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_parenth']," Je suis diplômé(e) de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car particulièrement dynamique, organisée et organisée dans les tâches à accomplir."
21,top_p:0.95,top_k:10,xglm-2.9B,psychopédagogie,Je suis diplômé·e de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_median'], Je suis diplômé·e de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car.
22,top_p:0.95,top_k:10,xglm-2.9B,psychopédagogie,Je suis diplômé·e de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_median']," Je suis diplômé·e de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, j'ai une expérience en tant qu'assistante maternelle. J'ai travaillé avec des jeunes enfants de 5 à 12 ans dans un foyer d'accueil pour enfants. Je sais m'occuper d'enfants. Je suis une personne organisée, sérieuse, rigoureuse et j'aime l'animation et les sorties en famille."
